8ballact	mame	Eight Ball Action (DK conversion)
8bpm	mame	Eight Ball Action (Pac-Man conversion)
99lstwar	mame	'99: The Last War (set 1)
99lstwara	mame	'99: The Last War (set 2)
99lstwarb	mame	'99: The Last War (bootleg)
99lstwark	mame	'99: The Last War (Kyugo)
abcop	mame	A.B. Cop (World, FD1094 317-0169b)
abcopd	mame	A.B. Cop (World, FD1094 317-0169b decrypted)
abcopj	mame	A.B. Cop (Japan, FD1094 317-0169b)
abcopjd	mame	A.B. Cop (Japan, FD1094 317-0169b decrypted)
ablast	mame	A-Blast (Japan)
abscam	mame	Abscam
aburner	mame	After Burner
aburner2	mame	After Burner II
aburner2g	mame	After Burner II (German)
aceattac	mame	Ace Attacker (FD1094 317-0059)
aceattaca	mame	Ace Attacker (Japan, System 16A, FD1094 317-0060)
acitya	mame	Atlantic City Action
acrobatm	mame	Acrobat Mission
actfancr	mame	Act-Fancer Cybernetick Hyper Weapon (World revision 3)
actfancr1	mame	Act-Fancer Cybernetick Hyper Weapon (World revision 1)
actfancr2	mame	Act-Fancer Cybernetick Hyper Weapon (World revision 2)
actfancrj	mame	Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)
ad2083	mame	A.D. 2083
aeroboto	mame	Aeroboto
aerofgt	mame	Aero Fighters
aerofgtb	mame	Aero Fighters (Turbo Force hardware set 1)
aerofgtc	mame	Aero Fighters (Turbo Force hardware set 2)
aerolitos	mame	Aerolitos (Spanish bootleg of Asteroids)
afighter	mame	Action Fighter, FD1089A 317-0018
afightera	mame	Action Fighter (unprotected)
afighterb	mame	Action Fighter (unprotected, analog controls)
afighterc	mame	Action Fighter (FD1089B 317-unknown)
afighterd	mame	Action Fighter (FD1089B 317-unknown, analog controls)
afightere	mame	Action Fighter (System 16B, unprotected, analog contro
afighterf	mame	Action Fighter (System 16B, FD1089B 317-unknown, analo
afighterg	mame	Action Fighter (System 16B, FD1089B 317-unknown)
afighterh	mame	Action Fighter (System 16B, FD1089A 317-0018)
agallet	mame	Air Gallet (Europe)
agalleta	mame	Air Gallet (older, Europe)
agalletah	mame	Air Gallet (older, Hong Kong)
agalletaj	mame	Akuu Gallet (older, Japan)
agalletak	mame	Air Gallet (older, Korea)
agalletat	mame	Air Gallet (older, Taiwan)
agalletau	mame	Air Gallet (older, USA)
agalleth	mame	Air Gallet (Hong Kong)
agalletj	mame	Akuu Gallet (Japan)
agalletk	mame	Air Gallet (Korea)
agallett	mame	Air Gallet (Taiwan)
agalletu	mame	Air Gallet (USA)
agentx1	mame	Agent X (prototype, rev 1)
agentx2	mame	Agent X (prototype, rev 2)
agentx3	mame	Agent X (prototype, rev 3)
agentx4	mame	Agent X (prototype, rev 4)
agress	mame	Agress
agressb	mame	Agress (English bootleg)
airass	mame	Air Assault (World)
airattck	mame	Air Attack (set 1)
airattcka	mame	Air Attack (set 2)
airbustr	mame	Air Buster: Trouble Specialty Raid Unit (World)
airbustrb	mame	Air Buster: Trouble Specialty Raid Unit (bootleg)
airbustrj	mame	Air Buster: Trouble Specialty Raid Unit (Japan)
airduel	mame	Air Duel (World, M82-A-A + M82-B-A)
airduelm72	mame	Air Duel (Japan, M72)
airwolf	mame	Airwolf
airwolfa	mame	Airwolf (US)
ajax	mame	Ajax
ajaxj	mame	Ajax (Japan)
akkanvdr	mame	Akkanbeder (Ver 2.5J 1995/06/14)
akumajou	mame	Akuma-Jou Dracula (Japan ver. P)
akumajoun	mame	Akuma-Jou Dracula (Japan ver. N)
alcon	mame	Alcon (US)
alexkidd	mame	Alex Kidd: The Lost Stars (set 2, unprotected)
alexkidd1	mame	Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown)
alibaba	mame	Ali Baba and 40 Thieves
alibabab	mame	Mustafa and 40 Thieves (bootleg)
alienar	mame	Alien Arena
alienaru	mame	Alien Arena (Stargate upgrade)
aliencha	mame	Alien Challenge (World)
alienchac	mame	Alien Challenge (China)
aliens	mame	Aliens (World set 1)
aliens2	mame	Aliens (World set 2)
aliens3	mame	Aliens (World set 3)
aliensa	mame	Aliens (Asia)
aliensec	mame	Alien Sector
aliensj	mame	Aliens (Japan set 1)
aliensj2	mame	Aliens (Japan set 2)
aliensu	mame	Aliens (US)
aliensyn	mame	Alien Syndrome (set 4, System 16B, unprotected)
aliensyn2	mame	Alien Syndrome (set 2, System 16A, FD1089A 317-0033)
aliensyn3	mame	Alien Syndrome (set 3, System 16B, FD1089A 317-0033)
aliensyn5	mame	Alien Syndrome (set 5, System 16A, FD1089B 317-0037)
aliensyn7	mame	Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx)
aliensynj	mame	Alien Syndrome (set 6, Japan, new, System 16B, FD1089A
aliensynjo	mame	Alien Syndrome (set 1, Japan, old, System 16A, FD1089A
aligator	mame	Alligator Hunt (World, protected)
aligators	mame	Alligator Hunt (Spain, protected)
